host_type,host_group,host,port,scheme,path,endpoint,organization,name,driver.name,_id
private_ip,10.100.115.0/24,10.100.115.73,80,http,/api,http://10.100.115.73/api,"АО «""TBC BANK"" ATB»",ГУБДД Штрафы - Munis - 0206,munis-tbc-dan,6697abb530c39cf3ab668e5d
private_ip,10.100.115.0/24,10.100.115.73,80,http,/api,http://10.100.115.73/api,"АО «""TBC BANK"" ATB»",Гос.инспекция по карантину растений - Munis - 0218,munis-tbc-quarantine,6694d05e111200d2c295f291
private_ip,10.100.115.0/24,10.100.115.73,80,http,/api,http://10.100.115.73/api,"АО «""TBC BANK"" ATB»",ЗАГС - Munis - 0208,munis-tbc-zags,6694d1a0111200d2c295f2b4
private_ip,10.100.115.0/24,10.100.115.73,80,http,/api,http://10.100.115.73/api,"АО «""TBC BANK"" ATB»",ИРК сертификация - Munis - 0225,munis-tbc-irk-certification,67ab543b320c36e44ded4eeb
private_ip,10.100.115.0/24,10.100.115.73,80,http,/api,http://10.100.115.73/api,"АО «""TBC BANK"" ATB»",МИБ - Munis - 0209,munis-tbc-mib,6697aec530c39cf3ab668ebd
private_ip,10.100.115.0/24,10.100.115.73,80,http,/api,http://10.100.115.73/api,"АО «""TBC BANK"" ATB»",Нотариус - Munis - 0208,munis-tbc-notarius,6694d2e7111200d2c295f2dc
private_ip,10.100.115.0/24,10.100.115.73,80,http,/api,http://10.100.115.73/api,"АО «""TBC BANK"" ATB»",Оплата в бюджет - Munis - 0202,munis-tbc-budget,6699ffc4b9762cf5a0896f4a
private_ip,10.100.115.0/24,10.100.115.73,80,http,/api,http://10.100.115.73/api,"АО «""TBC BANK"" ATB»",Оплата государственных пошлин ОВИР - Munis - 0211,munis-tbc-mvd-ovir,66a77642b9762cf5a08a4e12
private_ip,10.100.115.0/24,10.100.115.73,80,http,/api,http://10.100.115.73/api,"АО «""TBC BANK"" ATB»",Оплата государственных услуг - Munis - 0204,munis-tbc-agent-gos-uslug,6696594730c39cf3ab667539
private_ip,10.100.115.0/24,10.100.115.73,80,http,/api,http://10.100.115.73/api,"АО «""TBC BANK"" ATB»",Оплата за ВУЗы - Munis - 1303,munis-tbc-tuition,66a77bc1b9762cf5a08a4f1c
private_ip,10.100.115.0/24,10.100.115.73,80,http,/api,http://10.100.115.73/api,"АО «""TBC BANK"" ATB»",Оплата за тех.осмотр - Munis - 0212,munis-tbc-texosmotr,6696584530c39cf3ab66750e
private_ip,10.100.115.0/24,10.100.115.73,80,http,/api,http://10.100.115.73/api,"АО «""TBC BANK"" ATB»","Оплата членских взносов Ассоциации ""Хунарманд"" РУз – Munis – 0204",munis-tbc-agent-gos-uslug,66a77725b9762cf5a08a4e41
private_ip,10.100.115.0/24,10.100.115.73,80,http,/api,http://10.100.115.73/api,"АО «""TBC BANK"" ATB»",Пропускные пункты ГТК - Munis - 1203,munis-tbc-border-gtk,66a77b8eb9762cf5a08a4f14
private_ip,10.100.115.0/24,10.100.115.73,80,http,/api,http://10.100.115.73/api,"АО «""TBC BANK"" ATB»",Судебные платежи - Munis - 0205,munis-tbc-sud,66a77786b9762cf5a08a4e53
private_ip,10.100.115.0/24,10.100.115.73,80,http,/api,http://10.100.115.73/api,АО «АО 'PAYME'»,Единый QR,munis-tbc-qronline,694a6c931b5a9a5c5eda15a9
private_ip,10.100.115.0/24,10.100.115.73,80,http,/api,http://10.100.115.73/api,ГУП «Давлат хизматлари агентлиги»,MYGOVUZ - Munis - 0204,munis-tbc-agent-gos-uslug,64f5c4abc9498cfa6a9b8fda
private_ip,10.100.115.0/24,10.100.115.73,80,http,/api,http://10.100.115.73/api,ООО «Сверка»,Сверка Мунис TBC,munis-tbc,66bc433c9412202b2cc3073f
private_ip,10.100.115.0/24,10.100.115.73,80,http,/api,http://10.100.115.73/api,Сверка,Сверка MUNIS TBC,munis-tbc,5d22d726659a204299fbff5d
